Region_splitted;Variable_NeW;Sector_OMNIA;Share
AU;DFINENPIW;SRV;0.0
AU;DFINENPLBF;SRV;0.0
AU;DFINENPMW;SRV;0.0
AU;DFINENPOIL;SRV;0.7351687320665092
AU;DFINENPSBM;SRV;1.0
AU;DFINENPSOLT;SRV;1.0
AU;DINTENPCOMB;Blast furnace;0.770349196091254
AU;DINTENPOIL;Blast furnace;0.0
AU;DINTENPSBM;Blast furnace;0.0
AU;DINTENPCOMB;Coke oven;0.8608078235127435
AU;DINTENPGAS;Coke oven;0.0
AU;DINTENPOIL;Coke oven;0.0
AU;DINTENPBG;HEAT;0.0
AU;DINTENPCOMB;HEAT;0.0
AU;DINTENPGAS;HEAT;0.0
AU;DINTENPGEO;HEAT;0.0
AU;DINTENPHEAT;HEAT;0.0
AU;DINTENPIW;HEAT;0.0
AU;DINTENPLBF;HEAT;0.0
AU;DINTENPMW;HEAT;0.0
AU;DINTENPOIL;HEAT;0.0
AU;DINTENPSBM;HEAT;0.0
AU;DINTENPSOLT;HEAT;0.0
AU;DINTENPBG;Other;0.0
AU;DINTENPCOMB;Other;0.0
AU;DINTENPGAS;Other;1.0
AU;DINTENPLBF;Other;0.0
AU;DINTENPOIL;Other;0.9245327592195168
AU;DINTENPSBM;Other;0.0
AU;DINTENPBG;PG;0.828745970484416
AU;DINTENPCOMB;PG;0.9858194641648168
AU;DINTENPGAS;PG;0.9196807844518605
AU;DINTENPGEO;PG;0.0
AU;DINTENPHEAT;PG;0.0
AU;DINTENPIW;PG;0.0
AU;DINTENPLBF;PG;0.0
AU;DINTENPMW;PG;0.0
AU;DINTENPOIL;PG;0.9991488597950361
AU;DINTENPSBM;PG;0.6381730241206676
AU;DINTENPSOLT;PG;1.0
AU;DINTENPOIL;Refineries;0.8013439302413712
AU;DNONENPCOMB;Non energy;0.0
AU;DNONENPGAS;Non energy;0.4992893892471862
AU;DNONENPOIL;Non energy;0.9173941503714863
AU;DSTOCKPBG;BG;0.0
AU;DSTOCKPCOMB;COMB;1.1251162388490457
AU;DSTOCKPGAS;GAS;1.049559748651225
AU;DSTOCKPIW;IW;0.0
AU;DSTOCKPLBF;LBF;0.0
AU;DSTOCKPMW;MW;0.0
AU;DSTOCKPOIL;OIL;1.8860478756700978
AU;DSTOCKPSBM;SBM;0.0
AU;EXPPBG;BG;0.0
AU;EXPPCOMB;COMB;0.996076018993999
AU;EXPPELEC;ELEC;0.0
AU;EXPPGAS;GAS;1.0
AU;EXPPLBF;LBF;0.0
AU;EXPPMW;MW;0.0
AU;EXPPOIL;OIL;0.925353922174233
AU;EXPPSBM;SBM;0.0
AU;IMPPBG;BG;0.0
AU;IMPPCOMB;COMB;0.3995389071499071
AU;IMPPELEC;ELEC;0.0
AU;IMPPGAS;GAS;1.0
AU;IMPPHEAT;HEAT;0.0
AU;IMPPIW;IW;0.0
AU;IMPPLBF;LBF;0.0
AU;IMPPMW;MW;0.0
AU;IMPPOIL;OIL;0.853716250482888
AU;IMPPSBM;SBM;0.0
AU;PRODPBG;Production;0.8294762476110321
AU;PRODPCOMB;Production;0.9920672653840853
AU;PRODPGAS;Production;0.967308767683238
AU;PRODPGEO;Production;0.0
AU;PRODPHYD;Production;0.3841629491857824
AU;PRODPIW;Production;1.0
AU;PRODPLBF;Production;0.9721802915411191
AU;PRODPMW;Production;0.0
AU;PRODPNUC;Production;0.0
AU;PRODPOIL;Production;0.8515853188036624
AU;PRODPOTH_URN;Production;0.0
AU;PRODPPV;Production;0.9914505721932056
AU;PRODPSBM;Production;0.8114078415469268
AU;PRODPTID;Production;0.0
AU;PRODPWD;Production;0.8870440189584624
AU;DINTENPNUC;PG;0.0
AU;DINTENPNUC;HT;0.0
AU;DINTENPPV;PG;0.9914505721932056
AU;DINTENPPV;HT;0.9914505721932056
AU;DINTENPWD;PG;0.8870440189584624
AU;DINTENPWD;HT;0.8870440189584624
AU;DINTENPHYD;PG;0.3841629491857824
AU;DINTENPHYD;HT;0.3841629491857824
AU;DINTENPTID;PG;0.0
AU;DINTENPTID;HT;0.0
ID;DFINENPBG;AGR;0.0
ID;DFINENPCOMB;AGR;0.0
ID;DFINENPELEC;AGR;0.059522848545748595
ID;DFINENPGAS;AGR;0.0
ID;DFINENPGEO;AGR;0.0
ID;DFINENPHEAT;AGR;0.0
ID;DFINENPLBF;AGR;0.0
ID;DFINENPMW;AGR;0.0
ID;DFINENPOIL;AGR;0.12664195304044357
ID;DFINENPSBM;AGR;0.0
ID;DFINENPSOLT;AGR;0.0
ID;DFINENPOIL;AVB;0.23900803883855842
ID;DFINENPOIL;AVD;0.6519928828894886
ID;DFINENPBG;ICH;0.0
ID;DFINENPCOMB;ICH;0.5370597283776477
ID;DFINENPELEC;ICH;0.7553443435436566
ID;DFINENPGAS;ICH;0.6790193071093468
ID;DFINENPHEAT;ICH;0.0
ID;DFINENPIW;ICH;0.0
ID;DFINENPLBF;ICH;0.0
ID;DFINENPMW;ICH;0.0
ID;DFINENPOIL;ICH;0.382428132177699
ID;DFINENPSBM;ICH;1.0
ID;DFINENPSOLT;ICH;0.0
ID;DFINENPBG;ICM;0.0
ID;DFINENPCOMB;ICM;0.0
ID;DFINENPELEC;ICM;0.0
ID;DFINENPGAS;ICM;0.0
ID;DFINENPHEAT;ICM;0.0
ID;DFINENPIW;ICM;0.0
ID;DFINENPLBF;ICM;0.0
ID;DFINENPOIL;ICM;0.0
ID;DFINENPSBM;ICM;0.0
ID;DFINENPSOLT;ICM;0.0
ID;DFINENPCOMB;IIS;0.10855436344083254
ID;DFINENPELEC;IIS;0.43018053306871396
ID;DFINENPGAS;IIS;1.0
ID;DFINENPHEAT;IIS;0.0
ID;DFINENPIW;IIS;0.0
ID;DFINENPLBF;IIS;0.0
ID;DFINENPMW;IIS;0.0
ID;DFINENPOIL;IIS;0.41879874033868253
ID;DFINENPSBM;IIS;0.0
ID;DFINENPSOLT;IIS;0.0
ID;DFINENPBG;INF;0.0
ID;DFINENPCOMB;INF;0.0
ID;DFINENPELEC;INF;0.0
ID;DFINENPGAS;INF;0.0
ID;DFINENPHEAT;INF;0.0
ID;DFINENPIW;INF;0.0
ID;DFINENPLBF;INF;0.0
ID;DFINENPOIL;INF;0.0
ID;DFINENPSBM;INF;0.0
ID;DFINENPSOLT;INF;0.0
ID;DFINENPBG;INM;0.0
ID;DFINENPCOMB;INM;0.0
ID;DFINENPELEC;INM;0.0
ID;DFINENPGAS;INM;0.0
ID;DFINENPHEAT;INM;0.0
ID;DFINENPIW;INM;0.0
ID;DFINENPLBF;INM;0.0
ID;DFINENPMW;INM;0.0
ID;DFINENPOIL;INM;0.0
ID;DFINENPSBM;INM;0.0
ID;DFINENPSOLT;INM;0.0
ID;DFINENPBG;IOI;0.0
ID;DFINENPCOMB;IOI;0.625881924122856
ID;DFINENPELEC;IOI;0.38304007109090615
ID;DFINENPGAS;IOI;0.9914844255499679
ID;DFINENPGEO;IOI;0.0
ID;DFINENPHEAT;IOI;0.0
ID;DFINENPIW;IOI;0.0
ID;DFINENPLBF;IOI;0.9766889704295274
ID;DFINENPMW;IOI;0.0
ID;DFINENPOIL;IOI;0.736165363526214
ID;DFINENPSBM;IOI;0.7513290090442148
ID;DFINENPSOLT;IOI;0.0
ID;DFINENPGAS;NAB;0.0
ID;DFINENPLBF;NAB;0.0
ID;DFINENPOIL;NAB;0.49182738726953373
ID;DFINENPGAS;NAD;0.0
ID;DFINENPLBF;NAD;0.0
ID;DFINENPOIL;NAD;0.5029767417420473
ID;DFINENPCOMB;OTH;1.0
ID;DFINENPELEC;OTH;0.0
ID;DFINENPGAS;OTH;0.0
ID;DFINENPHEAT;OTH;0.0
ID;DFINENPLBF;OTH;1.0
ID;DFINENPOIL;OTH;0.0
ID;DFINENPSBM;OTH;1.0
ID;DFINENPSOLT;OTH;0.0
ID;DFINENPBG;OTH OwnUses;0.0
ID;DFINENPCOMB;OTH OwnUses;1.0
ID;DFINENPELEC;OTH OwnUses;0.0
ID;DFINENPGAS;OTH OwnUses;0.9669421114004823
ID;DFINENPHEAT;OTH OwnUses;0.0
ID;DFINENPIW;OTH OwnUses;0.0
ID;DFINENPLBF;OTH OwnUses;0.0
ID;DFINENPMW;OTH OwnUses;0.0
ID;DFINENPOIL;OTH OwnUses;0.8282156991319078
ID;DFINENPSBM;OTH OwnUses;0.0
ID;DFINENPBG;OTH_TR;0.0
ID;DFINENPELEC;OTH_TR;0.0
ID;DFINENPGAS;OTH_TR;0.0
ID;DFINENPLBF;OTH_TR;0.0
ID;DFINENPOIL;OTH_TR;0.0
ID;DFINENPBG;PWR OwnUses;0.0
ID;DFINENPCOMB;PWR OwnUses;0.0
ID;DFINENPELEC;PWR OwnUses;0.3650137572458089
ID;DFINENPGAS;PWR OwnUses;0.0
ID;DFINENPHEAT;PWR OwnUses;0.0
ID;DFINENPLBF;PWR OwnUses;0.0
ID;DFINENPMW;PWR OwnUses;0.0
ID;DFINENPOIL;PWR OwnUses;0.0
ID;DFINENPSBM;PWR OwnUses;0.0
ID;DFINENPELEC;Pipeline;0.0
ID;DFINENPGAS;Pipeline;0.0
ID;DFINENPCOMB;RAI;0.0
ID;DFINENPELEC;RAI;0.7235814679854242
ID;DFINENPLBF;RAI;0.0
ID;DFINENPOIL;RAI;0.7981720372345731
ID;DFINENPBG;RES;1.0
ID;DFINENPCOMB;RES;0.0
ID;DFINENPELEC;RES;0.5137508652339297
ID;DFINENPGAS;RES;1.0
ID;DFINENPGEO;RES;0.0
ID;DFINENPHEAT;RES;0.0
ID;DFINENPLBF;RES;0.0
ID;DFINENPOIL;RES;0.9119052346369004
ID;DFINENPSBM;RES;0.6679335199439481
ID;DFINENPSOLT;RES;0.0
ID;DFINENPBG;ROA;0.0
ID;DFINENPELEC;ROA;0.0
ID;DFINENPGAS;ROA;1.0
ID;DFINENPLBF;ROA;0.8374503430086069
ID;DFINENPOIL;ROA;0.4399949236541029
ID;DFINENPBG;SRV;0.0
ID;DFINENPCOMB;SRV;0.0
ID;DFINENPELEC;SRV;0.5854943811911043
ID;DFINENPGAS;SRV;1.0
ID;DFINENPGEO;SRV;0.0
ID;DFINENPHEAT;SRV;0.0
ID;DFINENPIW;SRV;0.0
ID;DFINENPLBF;SRV;0.5953743989008472
ID;DFINENPMW;SRV;0.0
ID;DFINENPOIL;SRV;0.25769820487942346
ID;DFINENPSBM;SRV;0.7292880901815058
ID;DFINENPSOLT;SRV;0.0
ID;DINTENPCOMB;Blast furnace;0.0
ID;DINTENPOIL;Blast furnace;0.0
ID;DINTENPSBM;Blast furnace;0.0
ID;DINTENPCOMB;Coke oven;0.08817749835775224
ID;DINTENPGAS;Coke oven;0.0
ID;DINTENPOIL;Coke oven;0.0
ID;DINTENPBG;HEAT;0.0
ID;DINTENPCOMB;HEAT;0.0
ID;DINTENPGAS;HEAT;0.0
ID;DINTENPGEO;HEAT;0.0
ID;DINTENPHEAT;HEAT;0.0
ID;DINTENPIW;HEAT;0.0
ID;DINTENPLBF;HEAT;0.0
ID;DINTENPMW;HEAT;0.0
ID;DINTENPOIL;HEAT;0.0
ID;DINTENPSBM;HEAT;0.0
ID;DINTENPSOLT;HEAT;0.0
ID;DINTENPBG;Other;0.0
ID;DINTENPCOMB;Other;1.0
ID;DINTENPGAS;Other;0.0
ID;DINTENPLBF;Other;0.0
ID;DINTENPOIL;Other;0.744611365120836
ID;DINTENPSBM;Other;0.3785633569370122
ID;DINTENPBG;PG;0.0
ID;DINTENPCOMB;PG;0.5602811325273609
ID;DINTENPGAS;PG;0.5417376111497951
ID;DINTENPGEO;PG;0.542396430531217
