Region_NeW_cd;Variable_NeW_cd;Sector_NeW;Commodity_NeW_nm;Value_TJ;Share
ES;DFINENP;13;COMB;6902.966;0.5338734842767568
ES;DFINENP;13;ELEC;36.0;0.0012698412698412698
ES;DFINENP;13;GAS;373.0;0.002662346005053461
ES;DFINENP;14;ELEC;14886.0;0.525079365079365
ES;DFINENP;14;GAS;131204.0;0.9364891293486174
ES;DFINENP;14;OIL;197583.9;0.9969624478835275
ES;DFINENP;17;COMB;6027.0;0.4661265157232432
ES;DFINENP;17;ELEC;10504.800000000001;0.37053968253968256
ES;DFINENP;17;GAS;7923.0;0.056551655222623516
FR;DFINENP;05;ELEC;106.074;0.003816849762756847
FR;DFINENP;05;GAS;2.376;8.647557021466905e-05
FR;DFINENP;06;ELEC;1202.526;0.04327036858993665
FR;DFINENP;07;ELEC;1202.526;0.04327036858993665
FR;DFINENP;07;GAS;122.393;0.004454547333873733
FR;DFINENP;13;COMB;12548.219;0.20482943064827172
FR;DFINENP;14;ELEC;9128.847600000001;0.32848237830480054
FR;DFINENP;14;GAS;27351.199;0.9954589770959116
FR;DFINENP;14;OIL;56229.234599999996;1.0
FR;DFINENP;17;COMB;48713.577999999994;0.7951705693517283
FR;DFINENP;17;ELEC;16151.007599999999;0.5811600347525692
ID;DFINENP;05;OIL;4671.52;0.029626482300456124
ID;DFINENP;06;OIL;7.095;4.499603810360143e-05
ID;DFINENP;07;GAS;216060.0;1.0
ID;DFINENP;14;OIL;151920.02;0.9634670907145725
ID;DFINENP;17;COMB;61669.712100000004;1.0
ID;DFINENP;17;OIL;1081.9142;0.006861430946867859
IN;DFINENP;05;COMB;4366.962;0.05087922560189413
IN;DFINENP;07;GAS;34408.0;0.09926090894929063
IN;DFINENP;13;COMB;61097.0;0.7118376680628147
IN;DFINENP;13;ELEC;1206.0;0.05934455270150576
IN;DFINENP;14;ELEC;19116.0;0.9406554472984943
IN;DFINENP;14;GAS;312234.0;0.9007390910507094
IN;DFINENP;14;OIL;765765.0;1.0
IN;DFINENP;17;COMB;20366.0;0.23728310633529118
IT;DFINENP;05;ELEC;860.6880000000001;0.02382709272394657
IT;DFINENP;06;ELEC;603.5076;0.016707368459658384
